number,time,thscode,ths_future_code_future,ths_mini_chg_price_future,ths_contract_multiplier,ths_trade_deposit_future,ths_transaction_procedure_rate_future,ths_transaction_procedure_fee_future,ths_open_time_day_future,ths_close_time_day_future,ths_open_time_night_future,ths_close_time_night_future,ths_exchange_name_eng_future,
10480,2022-05-13,SAZL.CZC,SAZL2,1.0000,20.0000,"6,696.0000",--,3.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10481,2022-05-12,SAZL.CZC,SAZL2,1.0000,20.0000,"6,746.4000",--,3.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10482,2022-05-11,SAZL.CZC,SAZL2,1.0000,20.0000,"6,748.8000",--,3.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10483,2022-05-10,SAZL.CZC,SAZL2,1.0000,20.0000,"6,715.2000",--,3.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10484,2022-05-09,SAZL.CZC,SAZL2,1.0000,20.0000,"7,111.2000",--,3.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10485,2022-05-06,SAZL.CZC,SAZL2,1.0000,20.0000,"7,262.4000",--,3.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10486,2022-05-05,SAZL.CZC,SAZL2,1.0000,20.0000,"7,212.0000",--,3.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10487,2022-04-29,SAZL.CZC,SAZL2,1.0000,20.0000,"7,164.0000",--,3.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10488,2022-04-28,SAZL.CZC,SAZL2,1.0000,20.0000,"7,132.8000",--,3.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10489,2022-04-27,SAZL.CZC,SAZL2,1.0000,20.0000,"7,063.2000",--,3.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10490,2022-04-26,SAZL.CZC,SAZL2,1.0000,20.0000,"6,943.2000",--,3.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10491,2022-04-25,SAZL.CZC,SAZL2,1.0000,20.0000,"7,192.8000",--,3.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10492,2022-04-22,SAZL.CZC,SAZL2,1.0000,20.0000,"7,447.2000",--,3.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10493,2022-04-21,SAZL.CZC,SAZL2,1.0000,20.0000,"7,437.6000",--,3.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10494,2022-04-20,SAZL.CZC,SAZL2,1.0000,20.0000,"7,629.6000",--,3.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10495,2022-04-19,SAZL.CZC,SAZL2,1.0000,20.0000,"7,752.0000",--,3.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10496,2022-04-18,SAZL.CZC,SAZL2,1.0000,20.0000,"7,615.2000",--,3.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10497,2022-04-15,SAZL.CZC,SAZL2,1.0000,20.0000,"7,572.0000",--,3.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10498,2022-04-14,SAZL.CZC,SAZL2,1.0000,20.0000,"5,634.0000",--,3.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10499,2022-04-13,SAZL.CZC,SAZL2,1.0000,20.0000,"5,571.0000",--,3.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10500,2022-04-12,SAZL.CZC,SAZL2,1.0000,20.0000,"5,459.4000",--,3.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10501,2022-04-11,SAZL.CZC,SAZL2,1.0000,20.0000,"5,275.8000",--,3.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10502,2022-04-08,SAZL.CZC,SAZL2,1.0000,20.0000,"5,265.0000",--,3.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10503,2022-04-07,SAZL.CZC,SAZL2,1.0000,20.0000,"5,265.0000",--,3.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10504,2022-04-06,SAZL.CZC,SAZL2,1.0000,20.0000,"5,432.4000",--,3.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10505,2022-04-01,SAZL.CZC,SAZL2,1.0000,20.0000,"5,418.0000",--,3.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10506,2022-03-31,SAZL.CZC,SAZL2,1.0000,20.0000,"5,428.8000",--,3.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10507,2022-03-30,SAZL.CZC,SAZL2,1.0000,20.0000,"5,374.8000",--,3.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10508,2022-03-29,SAZL.CZC,SAZL2,1.0000,20.0000,"5,265.0000",--,3.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10509,2022-03-28,SAZL.CZC,SAZL2,1.0000,20.0000,"5,229.0000",--,3.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10510,2022-03-25,SAZL.CZC,SAZL2,1.0000,20.0000,"4,890.6000",--,10.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10511,2022-03-24,SAZL.CZC,SAZL2,1.0000,20.0000,"4,721.4000",--,10.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10512,2022-03-23,SAZL.CZC,SAZL2,1.0000,20.0000,"4,539.6000",--,10.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10513,2022-03-22,SAZL.CZC,SAZL2,1.0000,20.0000,"4,455.0000",--,10.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10514,2022-03-21,SAZL.CZC,SAZL2,1.0000,20.0000,"4,483.8000",--,10.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10515,2022-03-18,SAZL.CZC,SAZL2,1.0000,20.0000,"4,451.4000",--,10.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10516,2022-03-17,SAZL.CZC,SAZL2,1.0000,20.0000,"4,392.0000",--,10.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10517,2022-03-16,SAZL.CZC,SAZL2,1.0000,20.0000,"4,428.0000",--,10.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10518,2022-03-15,SAZL.CZC,SAZL2,1.0000,20.0000,"4,455.0000",--,10.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10519,2022-03-14,SAZL.CZC,SAZL2,1.0000,20.0000,"4,500.0000",--,10.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10520,2022-03-11,SAZL.CZC,SAZL2,1.0000,20.0000,"4,689.0000",--,10.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10521,2022-03-10,SAZL.CZC,SAZL2,1.0000,20.0000,"4,681.8000",--,10.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10522,2022-03-09,SAZL.CZC,SAZL2,1.0000,20.0000,"4,653.0000",--,10.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10523,2022-03-08,SAZL.CZC,SAZL2,1.0000,20.0000,"4,750.2000",--,10.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10524,2022-03-07,SAZL.CZC,SAZL2,1.0000,20.0000,"4,986.0000",--,10.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10525,2022-03-04,SAZL.CZC,SAZL2,1.0000,20.0000,"4,878.0000",--,10.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10526,2022-03-03,SAZL.CZC,SAZL2,1.0000,20.0000,"4,861.8000",--,5.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10527,2022-03-02,SAZL.CZC,SAZL2,1.0000,20.0000,"4,784.4000",--,5.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10528,2022-03-01,SAZL.CZC,SAZL2,1.0000,20.0000,"4,633.2000",--,5.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10529,2022-02-28,SAZL.CZC,SAZL2,1.0000,20.0000,"4,685.4000",--,5.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10530,2022-02-25,SAZL.CZC,SAZL2,1.0000,20.0000,"4,883.4000",--,5.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10531,2022-02-24,SAZL.CZC,SAZL2,1.0000,20.0000,"5,097.6000",--,5.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10532,2022-02-23,SAZL.CZC,SAZL2,1.0000,20.0000,"5,162.4000",--,5.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10533,2022-02-22,SAZL.CZC,SAZL2,1.0000,20.0000,"5,229.0000",--,5.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10534,2022-02-21,SAZL.CZC,SAZL2,1.0000,20.0000,"5,090.4000",--,5.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10535,2022-02-18,SAZL.CZC,SAZL2,1.0000,20.0000,"5,020.2000",--,5.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10536,2022-02-17,SAZL.CZC,SAZL2,1.0000,20.0000,"5,092.2000",--,5.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10537,2022-02-16,SAZL.CZC,SAZL2,1.0000,20.0000,"5,223.6000",--,5.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10538,2022-02-15,SAZL.CZC,SAZL2,1.0000,20.0000,"5,121.0000",--,3.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10539,2022-02-14,SAZL.CZC,SAZL2,1.0000,20.0000,"5,279.4000",--,3.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10540,2022-02-11,SAZL.CZC,SAZL2,1.0000,20.0000,"5,526.0000",--,3.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
