number,time,thscode,ths_future_code_future,ths_mini_chg_price_future,ths_contract_multiplier,ths_trade_deposit_future,ths_transaction_procedure_rate_future,ths_transaction_procedure_fee_future,ths_open_time_day_future,ths_close_time_day_future,ths_open_time_night_future,ths_close_time_night_future,ths_exchange_name_eng_future,
4670,2021-07-09,RMZL.CZC,RMZL2,1.0000,10.0000,"2,086.0000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4671,2021-07-08,RMZL.CZC,RMZL2,1.0000,10.0000,"2,090.9000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4672,2021-07-07,RMZL.CZC,RMZL2,1.0000,10.0000,"2,098.6000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4673,2021-07-06,RMZL.CZC,RMZL2,1.0000,10.0000,"2,151.8000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4674,2021-07-05,RMZL.CZC,RMZL2,1.0000,10.0000,"2,156.7000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4675,2021-07-02,RMZL.CZC,RMZL2,1.0000,10.0000,"2,161.6000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4676,2021-07-01,RMZL.CZC,RMZL2,1.0000,10.0000,"2,095.8000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4677,2021-06-30,RMZL.CZC,RMZL2,1.0000,10.0000,"2,032.1000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4678,2021-06-29,RMZL.CZC,RMZL2,1.0000,10.0000,"2,021.6000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4679,2021-06-28,RMZL.CZC,RMZL2,1.0000,10.0000,"1,995.0000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4680,2021-06-25,RMZL.CZC,RMZL2,1.0000,10.0000,"1,973.3000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4681,2021-06-24,RMZL.CZC,RMZL2,1.0000,10.0000,"1,971.9000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4682,2021-06-23,RMZL.CZC,RMZL2,1.0000,10.0000,"1,971.9000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4683,2021-06-22,RMZL.CZC,RMZL2,1.0000,10.0000,"1,973.3000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4684,2021-06-21,RMZL.CZC,RMZL2,1.0000,10.0000,"1,967.7000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
